name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
GIGABYTE GeForce GV-N3060EAGLE OC-12GD GDDR6 Graphics Card,https://static-01.daraz.com.bd/p/e236251d13bf1937bd3d240811cc2846.jpg,50800.00,50800.00,null,Not Available,Not Available,0,Bangladesh,"['GIGABYTE GeForce GV-N3060EAGLE OC-12GD GDDR6 Graphics CardNVIDIA Ampere Streaming Multiprocessors', '12GB GDDR6 Memory', '192-bit Memory Interface', 'WINDFORCE 2X Cooling System']",Gigabite,True
1Pack VER018 PLUS PCI-E 1X to 16X Graphics Riser Card for BTC Mining,https://static-01.daraz.com.bd/p/5fdb51e770d9a80031d1dd3630af6a32.jpg,1283.00,705.00,null,-45%,Not Available,0,China,[],No Brand,True
XHHDQES GTX550TI Graphics Card 128Bit 2GB GDDR5 Desktop Computer Game HD Graphics Card PCIE 2.0 DVI-I VGA Video Card,https://static-01.daraz.com.bd/p/093b9231d60749596394d4a3de465a5c.jpg,12932.00,6466.00,null,-50%,Not Available,0,China,[],No Brand,True
XHHDQES GTX550Ti Graphics Card 2GB DDR5 128Bit PCIE 2.0 Video Card HDMI-Compatible/DVI/VGA Desktop Gaming Graphics Card,https://static-01.daraz.com.bd/p/a5deb76bb8bc806a291e2b4583188773.jpg,13453.00,6829.00,null,-49%,Not Available,0,China,[],No Brand,True
XHHDQES ATI HD6770 1G DDR5 128Bit PCI-E2.0 HDMI+VGA+DVI Independent Graphics Card Size Chassis Dedicated Office HD Graphics Card,https://static-01.daraz.com.bd/p/19f9fde9060ce41b0e2c6c6100325506.jpg,14517.00,7369.00,null,-49%,Not Available,0,China,[],No Brand,True
XHHDQES HD6700 1GB DDR5 128Bit Graphics Card PCIE 2.0 GPU HDMI-Compatible DVI VGA Desktop Video Card for AMD,https://static-01.daraz.com.bd/p/fba7ea6d634afa0d6b887a98aff4667b.jpg,11518.00,5788.00,null,-50%,Not Available,0,China,[],No Brand,True
"Adjustable Graphics Card Fixed Bracket ARGB Godlight Sync for 3060Ti4070Ti Universal Graphics Card Holder,Silver",https://static-01.daraz.com.bd/p/d2b4894832ed9324fbee1a923efc9879.png,8356.00,4285.00,null,-49%,Not Available,0,China,[],No Brand,True
GBS Control GBSC RGBS VGA Scart Ypbpr Signal to VGA Part Component for Retro Game Consoles SEGA Dreamcase PlayStation2 NGC,https://static-01.daraz.com.bd/p/f96290b0bb3ecca081e1ab781f7b1b71.png,18328.00,9534.00,null,-48%,Not Available,0,China,[],No Brand,True
Graphics Card RX580 8GB DDR5 256BIT 2048SP Graphics Card 8Pin Dual Fan for AMD Mining Game Graphics Card,https://static-01.daraz.com.bd/p/7a918cdd642c1df0fecd30f6da4aeed0.png,17816.00,11877.00,null,-33%,Not Available,0,China,[],No Brand,True
ARKTEK NVIDIA GeForce GT730 128bit 4GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/541c9d0aa4209172f2ec64821adb678d.jpg,9800.00,8200.00,null,-16%,Not Available,0,Bangladesh,[],ARKTEK,True
ARKTEK NVIDIA GeForce GT610 64bit 2GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/72352ceb9a0e4edc6f732c22b9b84bce.jpg,5800.00,4550.00,null,-22%,Not Available,0,Bangladesh,[],ARKTEK,True
ARKTEK NVIDIA GeForce GT730 128bit 2GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/096ae14947c938b751e5ec0938360e37.jpg,9300.00,7400.00,null,-20%,Not Available,0,Bangladesh,[],ARKTEK,True
Asus Phoenix GeForce DDR5 4GB GTX1650 OC Edition One Fan Graphics Card,https://static-01.daraz.com.bd/p/eff5642988b19639beaa25adb87c6d3e.jpg,29000.00,26500.00,null,-9%,Not Available,0,Bangladesh,[],ASUS,True
XHHDQES Mini PCIe to Rs232 2 Ports Db9 Com Half Size Mini PCI Express Serial Port Industrial Controller Card EXAR 17V352,https://static-01.daraz.com.bd/p/29da63dd0378aa422ee15a161f7d36f2.jpg,4724.00,2779.00,null,-41%,Not Available,0,China,[],No Brand,True
Graphics Card DDR5 256BIT Desktop Computer Graphics Card PCI Express 3.0 16X Graphics Card,https://static-01.daraz.com.bd/p/17881f51641fdbe1920b76bad442f7c4.jpg,20617.00,11085.00,null,-46%,Not Available,0,China,[],No Brand,True
Afox amd radeon rx550 4gb gddr5 ডুয়াল ফ্যান গ্রাফিক্স কার্ড,https://static-01.daraz.com.bd/p/79bb7d555467ae9de110ff7bc0b62098.jpg,20000.00,17990.00,null,-10%,Not Available,0,Bangladesh,"['AFOX AMD Radeon RX550 4GB GDDR5 Dual Fan', 'Graphics Card', '■ AMD Radeon RX550', '■ Bus Standard --> PCI Express 3.0', '■ Video Memory --> GDDR5 4096MB', '■ Memory Clock --> 6000Mhz', '■ Memory Interface --> 128-Bit', '■ DVI Output --> Yes X 1', '■ HDMI Output --> Yes X 1', '■ Display port --> Yes X 1', '■ HDCP Support --> Yes\xa0']",No Brand,True
GTX550Ti 2GB Desktop Computer Graphic Card 128Bit GDDR5 HDMI-Compatible Game Video Card Discrete Graphics Card,https://static-01.daraz.com.bd/p/a3a4017690256c9d47c90cc9f60b23a6.png,11128.00,6100.00,null,-45%,Not Available,0,China,[],No Brand,True
"COOLMOON GT8 Vertical GPU Support Bracket,Pink",https://static-01.daraz.com.bd/p/2e332201a9b7ebaa498d0220bdc0715b.png,2420.00,1287.00,null,-47%,Not Available,0,China,[],No Brand,True
RX580 8GB for AMD Game Graphics Card DDR5 256BIT 2048SP 1284M/8100MHz PCI-E3.0 16X 3XDP 1XHD 1XDVI 8Pin Dual Fan Card,https://static-01.daraz.com.bd/p/c6fcb8431524b0f642dd6f4d6c9f33c5.jpg,18663.00,12442.00,null,-33%,Not Available,0,China,[],No Brand,True
