name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
PCI-E Riser 009S 1X 16x Extender PCI E USB Riser 009S Dual 6Pin Adapter Card SATA 15pin for BTC Miner r USB 3.0 Graphics Card,https://static-01.daraz.com.bd/p/8bbe4128e067835783ee2778f3fe5a29.jpg,805.00,630.00,null,-22%,Not Available,0,Bangladesh,[],No Brand,True
GT 610 1G Ultra-Fast Graphics Card 1GB 64Bit DDR3 810/500MHz PCI-E 1.1 X16 Desktop Small Chassis PC Gaming Graphics Card,https://static-01.daraz.com.bd/p/bacee5eb24b4ec8851eac7f9555cfdef.jpg,6140.00,3374.00,null,-45%,Not Available,0,China,[],No Brand,True
GT210 1GB Graphics Cards 64Bit Video Card for GPU PC Games DVI-I HDMI-Compatible VGA Used Dual-Screen Graphics Card,https://static-01.daraz.com.bd/p/f18432c11ce06f601f3e8cb30a5dae8f.jpg,5292.00,2776.00,null,-48%,Not Available,0,China,"['The size of the chassis is universal, no longer have to worry about upgrading the graphics card for the small chassisIndependent 1024M 64-bit, the output interface is DVI+VGA+HDMI HD full interfaceReal NVIDIA GT210 coreTrue 1024M capacityLet you no longer have the trouble of not being able to open more games! ! Real onboard 1G real memory! ! Have fun with the game!']",No Brand,True
ARELENE COLORFUL GeForce RTX 3050 DUO 8G Graphics Card 8GB GDDR6 128Bit 8Nm 14Gbps 1552Mhz 1777Mhz 3DP+HD Video Card,https://static-01.daraz.com.bd/p/a94bf1c438a34effe08b05ff8dcf30e7.png,81719.00,54480.00,null,-33%,Not Available,0,China,[],No Brand,True
GT 610 1G Ultra-Fast Graphics Card 1GB 64Bit DDR3 810/500MHz PCI-E 1.1 X16 Desktop Small Chassis PC Gaming Graphics Card,https://static-01.daraz.com.bd/p/bacee5eb24b4ec8851eac7f9555cfdef.jpg,5398.00,3374.00,null,-38%,Not Available,0,China,[],No Brand,True
Discrete Graphics Kit-1 x Discrete Graphics Kit,https://static-01.daraz.com.bd/p/b1f4af704d1c9da90b07bf7f84fecbee.jpg,7990.00,5316.00,null,-33%,Not Available,0,China,[],No Brand,True
Asus NVIDIA GeForce GT710-SL-2GD5-BRK 2GB DDR5 Graphics Card,https://static-01.daraz.com.bd/p/c11822b913f9c5f336bd0ad2381ecb43.jpg,7700.00,6700.00,null,-13%,Not Available,0,Bangladesh,[],ASUS,True
PCI-E 4.0 X16 to X16 Graphics Card USB4.0 180 Degrees Extension Cable,https://static-01.daraz.com.bd/p/8b7fe4a0cb1bac4926f23e4fb6a56d30.jpg,5247.00,2710.00,null,-48%,Not Available,0,China,[],No Brand,True
Adapter Extension Cable PCI-E 4.0 X8 to X16 Graphics Card Extension Cable PCI-E USB4.0 Video Card Adapter Cable,https://static-01.daraz.com.bd/p/130ec0231176fd8b7348ea5c025b4084.jpg,2721.00,1706.00,null,-37%,Not Available,0,China,[],No Brand,True
PNY 8GB GeForce RTX 3060 TI VERTO™ LHR Dual Fan,https://static-01.daraz.com.bd/p/b964667fc87937d0047241232130e5e3.jpg,65000.00,63500.00,null,-2%,Not Available,0,Bangladesh,"['8GB Capacity', '7680 x 4320 @60Hz (Digital) Resolution', '256-bit Memory Interface', '3x DisplayPort 1.4a, HDMI 2.1 Outputs', '1 x 8-pin Connectors', 'Best-In-Class Performance', 'Stream Processors', '3 Years Warranty']",PNY,True
