brand,title,stock_status,product_price,cash_discount_price,emi_price,processor,webcam,warranty,url
Asus,Asus ROG Zephyrus G14 GA401QM 14 inch WQHD 120Hz Display Ryzen 9 5900HS 16GB RAM 1TB SSD Gaming Laptop with RTX 3060 6GB Max-Q Graphics,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 9 5900HS Processor (8-core/16-thread 20MB cache, up to 4.6 GHz max boost)",,"02 years International Limited Warranty (Terms & condition Apply As Per Asus)
",https://www.techlandbd.com/asus-rog-zephyrus-g14-ga401qm-gaming-laptop
Asus,Asus ROG Zephyrus M16 GU603HM 16 inch WQXGA 144Hz Display Core i7 11th Gen 32GB RAM 1TB SSD Gaming Laptop with RTX 3060 6GB Graphics,Out Of Stock,,Not Available,Not Available,"Intel Core i7-11800H (2.3GHz up-to 4.6GHz, 8 Core 24M Cache)","720P HD camera
","2 years International Limited Warranty (Terms & condition Apply As Per Asus)
",https://www.techlandbd.com/asus-rog-zephyrus-m16-gu603hm-i7-gaming-laptop
HP,HP PAVILION 15s-EC0093AX 15.6'' Full HD Display Ryzen 5 3550H 8GB RAM 1TB HDD 256GB SSD GAMING Laptop With GEFORCE GTX 1650 4GB Graphics,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 5 3550H with Radeon Vega 8 Graphics (2.1 GHz base clock, up to 3.7 GHz max boost clock, 6 MB cache, 4 cores)
","HP Wide Vision HD Camera with integrated dual array digital microphone
","2 years International Limited Warranty (Terms & condition Apply As Per HP)
",https://www.techlandbd.com/hp-pavilion-15s-ec0093ax-gaming-laptop
Asus,Asus ROG Strix SCAR 15 G533QS 15.6 inch Full HD 300Hz Display Ryzen 9 5900HX 32GB RAM 1TB SSD Gaming Laptop with RTX 3080 16GB Graphics,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 9 5900HX Processor 3.3 GHz (16M Cache, up to 4.6 GHz)",FHD 1080P 60FPS external camera,"2 years International Limited Warranty (Terms & condition Apply As Per Asus)
",https://www.techlandbd.com/asus-rog-strix-scar-15-g533qs-ryzen-9-gaming-laptop
Asus,Asus ROG Zephyrus M16 GU603HR 16 inch WQXGA 165Hz Display Core i9 11th Gen 32GB RAM 1TB SSD Gaming Laptop with RTX 3070 8GB Graphics,Out Of Stock,,Not Available,Not Available,"Intel Core i9-11900H Processor 2.5 GHz (24M Cache, up to 4.9 GHz, 8 Cores)
","720P HD camera
","2 years International Limited Warranty (Terms & condition Apply As Per Asus)
",https://www.techlandbd.com/asus-rog-zephyrus-m16-gu603hr-gaming-laptop
Lenovo,LENOVO IDEAPAD 5 15.6 INCH FULL HD RYZEN 5 5500U 16GB RAM 512GB SSD LAPTOP,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)
","720p with Privacy Shutter
",3 years,https://www.techlandbd.com/lenovo-ideapad-5-ryzen-5-5500u-laptop
Lenovo,LENOVO IDEAPAD SLIM 3 14 INCH HD INTEL I3 10TH GEN 8GB RAM 1TB HDD & 250GB SSD LAPTOP (3 years Warranty),Out Of Stock,,Not Available,Not Available,"Intel Core i3-1005G1 (2C / 4T, 1.2 / 3.4GHz, 4MB)
","720p with Privacy Shutter
",3 years,https://www.techlandbd.com/lenovo-ideapad-3-i3-laptop-bd
HP,HP 15S-EQ2690AU 15.6 INCH FULL HD DISPLAY RYZEN 5 5500U 8GB RAM 512 GB SSD LAPTOP WITH VEGA GRAPHICS,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 5 5500U Processor (8M Cache, 2.1GHz up to 4.0GHz, 6 cores)
","HP True Vision 720p HD camera with integrated dual array digital microphones
",2 Years,https://www.techlandbd.com/hp-15s-eq2690au-laptop
Lenovo,LENOVO LEGION 5 15ACH6H 15.6 INCH FHD DISPLAY RYZEN 5 5600H 8GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3050Ti 4GB GRAPHICS,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 5 5600H (16MB Cache, 3.3GHz Up to 4.2GHz)","720p HD
",2 years Warranty(Battery 1year Warranty).,https://www.techlandbd.com/legion-5-15ach6h-ryzen-5-5600h-gaming-laptop
Acer,Acer Aspire 3 A315-58-33VT 15.6 inch Full HD Display Core i3 11th Gen 4GB RAM 1TB HDD Laptop,Out Of Stock,,Not Available,Not Available,"Intel Core i3-1115G4 Processor (8M Cache, 3.0 GHz up to 4.10 GHz)
","HD Camera with 2Mic
","02 years warranty
",https://www.techlandbd.com/acer-aspire-3-a315-58-33vt-laptop
