title,href,processor_Type,RAM,Proc_Generation,Display
Asus X515FA Intel Core i3 10110U 15.6 Inch FHD Display Slate Grey Laptop #EJ223W-X515FA,https://www.ryanscomputers.com/asus-x515fa-intel-core-i3-10110u-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 15.6
Asus X415FA Intel Core i3 10110U 14 Inch FHD Display Slate Grey Laptop #EK120W-X415FA,https://www.ryanscomputers.com/asus-x415fa-intel-core-i3-10110u-14-inch-fhd-display-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 14
Asus X415FA 10th Gen Intel Core i3 10110U 14 Inch FHD Display Slate Grey Laptop #EK127W-X415FA,https://www.ryanscomputers.com/asus-x415fa-10th-gen-intel-core-i3-10110u-14-inch-fhd-display-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 14
Asus R565FA Intel Core i3 10110U 15.6 Inch HD Display Slate Grey Laptop #BR221W-R565FA,https://www.ryanscomputers.com/asus-r565fa-intel-core-i3-10110u-15.6-inch-hd-display-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 15.6
Asus X515JA Intel Core i3 15.6 Inch Grey Laptop #BQ3550W-X515JA,https://www.ryanscomputers.com/asus-x515ja-intel-core-i3-15.6-inch-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 15.6
Dell Vostro 14 3400 Intel Core i3 1115G4 14 Inch HD Display Black Laptop,https://www.ryanscomputers.com/dell-vostro-14-3400-intel-core-i3-1115g4-14-inch-hd-display-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 14
Dell Vostro 14 3400 11th Gen Intel Core i3 1115G4 14 Inch HD Display Grey Laptop,https://www.ryanscomputers.com/dell-vostro-14-3400-11th-gen-intel-core-i3-1115g4-14-inch-hd-display-grey-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 14
Acer Extensa 15 EX215-54-37AH 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Charcoal Black Laptop #NX.EGJSI.001,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-37ah-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-charcoal-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus D415DA AMD Ryzen 3 3250U 14 Inch HD Display Slate Grey Laptop #BV981W-D415DA,https://www.ryanscomputers.com/asus-d415da-amd-ryzen-3-3250u-14-inch-hd-display-slate-grey-laptop,Processor Type. - Ryzen 3,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 14
Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Arctic Grey Laptop #82H801WHIN-3Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-arctic-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus X515EA Intel Core i3 1115G4 15.6 Inch FHD WV Display Peacock Blue Laptop #BQ2315W-X515EA,https://www.ryanscomputers.com/asus-x515ea-peacock-blue-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus X515EA 11th Gen Intel Core i3 4GB DDR4 15.6 Inch Display Slate Grey Laptop #EJ2454W-X515EA,https://www.ryanscomputers.com/asus-x515ea-11th-gen-intel-core-i3-4gb-ddr4-15.6-inch-display-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus X515EA Intel Core i3 1115G4 15.6 Inch FHD Display Peacock Blue Laptop #EJ2455W-X515EA,https://www.ryanscomputers.com/asus-x515ea-intel-core-i3-1115g4-15.6-inch-fhd-display-peacock-blue-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus M515DA AMD Ryzen 3 3250U 15.6 Inch HD LED Display Slate Grey Laptop #BR1597W-M515DA,https://www.ryanscomputers.com/asus-m515da-amd-ryzen-3-3250u-15.6-inch-hd-led-display-slate-grey-laptop,Processor Type. - Ryzen 3,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Asus ExpertBook P1 P1412CEA Intel Core i3 1115G4 14 Inch FHD LED Display Slate Grey Laptop #EK0359,https://www.ryanscomputers.com/asus-expertbook-p1-p1412cea-14-inch-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 14
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 15.6 Inch FHD Display Arctic Grey Laptop #82H8023GIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl6-core-i3-1115g4-15.6-inch-fhd-display-arctic-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus D515DA AMD Ryzen 3 3250U 15.6 Inch FHD Display Win 11 Slate Grey Laptop #EJ1325W-D515DA,https://www.ryanscomputers.com/asus-d515da-amd-ryzen-3-3250u-15.6-inch-fhd-display-win-11-slate-grey-laptop,Processor Type. - Ryzen 3,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Asus X415EA 11th Gen Intel Core i3 4GB DDR4 14 Inch Display Slate Grey Laptop #EK615W-X415EA,https://www.ryanscomputers.com/asus-x415ea-11th-gen-intel-core-i3-4gb-ddr4-14-inch-display-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 14
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 15.6 Inch 1TB HDD FHD Display Abyss Blue Laptop #82H8034UIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl6-core-i3-1115g4-15.6-inch-1tb-hdd-fhd-display-abyss-blue-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Lenovo IdeaPad Slim 3i 14ITL6 11th Gen Intel Core i3 1115G4 14 Inch FHD Antiglare Display Arctic Grey Laptop #82H701KAIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14itl6-11th-gen-intel-core-i3-1115g4-14-inch-fhd-antiglare-display-arctic-grey-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 14
Lenovo IdeaPad Slim 3i 14ITL6 11th Gen Intel Core i3 14 Inch FHD LED Display Blue Laptop #82H701KBIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14itl6-11th-gen-intel-core-i3-14-inch-fhd-led-display-blue-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 14
Dell Vostro 15 3510 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Black Laptop,https://www.ryanscomputers.com/dell-vostro-15-3510-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Acer TravelMate P214-53-30NZ Intel Core i3 1115G4 14 Inch FHD Display Shale Black Laptop #NX.VPLSI.014,https://www.ryanscomputers.com/acer-travelmate-p214-53-30nz-14-inch-shale-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 14
Asus ExpertBook P2451FA Intel Core i3 10110U 14 Inch FHD LED Display Star Black Laptop #EK3345/EK3345N-P2451FA,https://www.ryanscomputers.com/asus-expertbook-p2451fa-intel-core-i3-10110u-14-inch-fhd-led-display-star-black-laptop-ek3345-p2451fa,Processor Type. - Core i3,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 14
Asus ExpertBook P1 P1512CEA Intel Core i3 1115G4 15.6 Inch FHD LED Display Slate Grey Laptop #BQ0499,https://www.ryanscomputers.com/asus-expertbook-p1-p1512cea-intel-core-i3-1115g4-15.6-inch-fhd-led-display-slate-grey-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
MSI Modern 14 C11M 11th Gen Intel Core i3 1115G4 14 Inch FHD IPS Display Classic Black Laptop #9S7-14J312-242,https://www.ryanscomputers.com/msi-modern-14-c11m-11th-gen-intel-core-i3-1115g4-14-inch-fhd-ips-display-classic-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 14
Asus X515EA Intel Core i3 1115G4 15.6 Inch FHD LED Display Peacock Blue Laptop #BQ2219W-X515EA,https://www.ryanscomputers.com/asus-x515ea-intel-core-i3-1115g4-15.6-inch-peacock-blue-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
HP 15s-du3611TU 11th Gen Intel Core i3 1125G4 15.6 Inch FHD Display Jet Black Laptop #5B354PA-2Y,https://www.ryanscomputers.com/hp-15s-du3611tu-11th-gen-intel-core-i3-1125g4-15.6-inch-fhd-display-jet-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Dell Inspiron 15 3525 AMD Ryzen 3 5425U 15.6 Inch FHD Display Carbon Black Laptop #WARMLKN315AMD2301260SPP-2Y,https://www.ryanscomputers.com/dell-inspiron-15-3525-amd-ryzen-3-5425u-15.6-inch-fhd-display-carbon-black-laptop,Processor Type. - Ryzen 3,RAM - 8GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Acer Aspire 3 A315-510P Intel Core i3 N305 15.6 Inch FHD Display Pure Silver Laptop #NX.KDHSI.001,https://www.ryanscomputers.com/acer-aspire-3-a315-510p-intel-core-i3-n305-15.6-inch-fhd-display-pure-silver-laptop-nx.kdhsi.001,Processor Type. - Core i3,RAM - 8GB,Generation - Not Applicable,Display Size (Inch) - 15.6
HP 240 G8 Intel Core i3 1115G4 14 Inch FHD Display Ash Laptop #5C134PA,https://www.ryanscomputers.com/hp-240-g8-intel-core-i3-1115g4-14-inch-fhd-display-ash-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 14
HP 15s-du3560TU Intel Core i3 1125G4 15.6 Inch FHD AntiGlare Display Silver Laptop #577Y2PA-2Y,https://www.ryanscomputers.com/hp-15s-du3560tu-intel-core-i3-1125g4-15.6-inch-fhd-antiglare-display-silver-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
