titles,availability,originalPrices,discounts,discountPrices
"Duranta Rider - 20 "" 806979",Out of stock,"8,455.00",Not Available,"8,455.00"
"Duranta Durjoy Single Bar- 26""(Single speed) 847007",Out of stock,"9,640.00",Not Available,"9,640.00"
Duranta CB Extreme Boys Bicycle 16 inch,Out of stock,"7,570.00",Not Available,"7,570.00"
"Duranta Extreme 20"" 85485",Out of stock,"8,455.00",Not Available,"8,455.00"
"Duranta Classic Gold 2-Bar- 28"" (Single speed) 85480",Out of stock,"11,300.00",Not Available,"11,300.00"
"Duranta Knight Red Gents Bicycle 26""",Out of stock,"9,735.00",Not Available,"9,735.00"
Duranta Steel 1-Spd Avenger Premier 20 Blue,Out of stock,"7,910.00",Not Available,"7,910.00"
Poseidon / Avigo Dual Suspension 26 Inch,Out of stock,"9,735.00",Not Available,"9,735.00"
"Duranta CB Camellia Girls Bicycle 20"" Cherry Pink Supporting Wheel",Out of stock,280.00,Not Available,280.00
"Duranta Scorpion-26"" (Multi Speed) 847143",Out of stock,"13,365.00",Not Available,"13,365.00"
"Duranta Optimus-26""(Single speed) 847054",Out of stock,"9,350.00",Not Available,"9,350.00"
"Duranta Durjoy 2-Bar 26"" (Single speed) 847008",Out of stock,"10,700.00",Not Available,"10,700.00"
"Duranta Recoil Ultimate 24"" Blue 806689",Out of stock,"8,420.00",Not Available,"8,420.00"
"Duranta Gravity 26"" (Multi speed) 804958",Out of stock,"13,380.00",Not Available,"13,380.00"
"Duranta Rider-26"" (single speed) 804089",Out of stock,"9,990.00",Not Available,"9,990.00"
"Duranta Energy 20"" 804430",Out of stock,"7,940.00",Not Available,"7,940.00"
Duranta Steel 1 Spd Premier M-12.01 Blue,Out of stock,"6,420.00",Not Available,"6,420.00"
"Duranta Allan Ultimate 24""(Multi speed) 804685",Out of stock,"12,550.00",Not Available,"12,550.00"
"Duranta Ryan 20"" 804428",Out of stock,"7,940.00",Not Available,"7,940.00"
"Duranta Angellena Ladies Single Spd 26"" Bicycle Without Basket",Out of stock,"10,580.00",Not Available,"10,580.00"
"Duranta Allan Ultimate Plus 26"" Red- 804778",Out of stock,"15,000.00",Not Available,"15,000.00"
"Duranta Muscular 26"" (Multi speed) 804496",Out of stock,"13,365.00",Not Available,"13,365.00"
"Duranta Extreme 16"" 804314",Out of stock,"7,570.00",Not Available,"7,570.00"
"Duranta Supreme 24"" Red Gents",Out of stock,"12,275.00",Not Available,"12,275.00"
"Duranta Rider - 26"" (Single speed) 804070",Out of stock,"9,990.00",Not Available,"9,990.00"
"Duranta Micycle 2-Bar 28""(Single speed) 847552",Out of stock,"9,480.00",Not Available,"9,480.00"
"Duranta Premier -12"" 804576",Out of stock,"6,420.00",Not Available,"6,420.00"
"Duranta Wrestler- 26"" (Multi speed) 847204",Out of stock,"13,385.00",Not Available,"13,385.00"
"Duranta Scorpian 26""(Single speed)Blue 847495",Out of stock,"12,000.00",Not Available,"12,000.00"
"Duranta Allan Primo 26"" Gents Red",Out of stock,"13,960.00",Not Available,"13,960.00"
